gene,logFC_limma,p_limma,FDR_limma
ENSG00000165949,4.6145570848485775,3.1996013733954397e-4,0.8342240391120234
ENSG00000266412,-1.3125342611985888,3.890705483561648e-4,0.8342240391120234
ENSG00000197632,-1.8043652036137297,4.321307750335547e-4,0.8342240391120234
ENSG00000138674,-1.1482536156450416,0.001045476929902048,0.8342240391120234
ENSG00000068079,1.9402307707588828,0.0013875207929918275,0.8342240391120234
ENSG00000146433,-2.09352288645786,0.0016268669756402104,0.8342240391120234
ENSG00000142089,1.1593803294025473,0.0018095728646058025,0.8342240391120234
ENSG00000169245,7.674655885674877,0.001973751348171241,0.8342240391120234
ENSG00000126709,3.5039316108404375,0.0020411434946476007,0.8342240391120234
ENSG00000134321,3.9822552998000114,0.0022710872984993318,0.8342240391120234
ENSG00000185745,4.976994353210219,0.0024427628207750463,0.8342240391120234
ENSG00000183486,4.362118221482904,0.0025178177681829863,0.8342240391120234
ENSG00000185885,2.173705009019842,0.0028657271137324525,0.8342240391120234
ENSG00000137959,4.05475521010882,0.0029700209854179637,0.8342240391120234
ENSG00000169248,6.646544094175775,0.0030143127776367123,0.8342240391120234
ENSG00000188554,-1.2502641391407914,0.0032159884485210145,0.8342240391120234
ENSG00000105856,-1.2090928630316653,0.0033094492459372926,0.8342240391120234
ENSG00000187608,3.893791385000671,0.0033576383782885563,0.8342240391120234
ENSG00000153904,-1.554375269856416,0.0039975577445794,0.8342240391120234
ENSG00000005483,-1.1004132365057315,0.004021814671858603,0.8342240391120234
ENSG00000184979,3.6647197394483597,0.004030018354623966,0.8342240391120234
ENSG00000198932,8.692350476015903,0.0040595257580169535,0.8342240391120234
ENSG00000215114,-1.3077302021383779,0.004162449486361097,0.8342240391120234
ENSG00000185432,-1.8011012114482103,0.0041904435132678435,0.8342240391120234
ENSG00000011405,-2.9796867474015203,0.004212029322846748,0.8342240391120234
ENSG00000148672,-1.01541651565953,0.004277030264600181,0.8342240391120234
ENSG00000133835,-1.1902767265137144,0.00449297883115627,0.8342240391120234
ENSG00000169372,-2.2122169538558376,0.00457138423626242,0.8342240391120234
ENSG00000160932,1.3155118074215726,0.004620431093294217,0.8342240391120234
ENSG00000172016,-1.6666194652445077,0.004667852984936412,0.8342240391120234
ENSG00000142627,-1.3566343336219928,0.004691680239488449,0.8342240391120234
ENSG00000154767,-1.7611067979403543,0.004873338759858719,0.8342240391120234
ENSG00000175445,8.585442266790118,0.005212260736148576,0.8342240391120234
ENSG00000198642,-1.6930129063121542,0.005557186889035106,0.8342240391120234
ENSG00000138138,-1.2366312910736401,0.005609551925178786,0.8342240391120234
ENSG00000130303,2.4584428824080047,0.005690855375836405,0.8342240391120234
ENSG00000176046,1.0090426594404287,0.005827993571177337,0.8342240391120234
ENSG00000108061,-1.336454938098598,0.005840670144752453,0.8342240391120234
ENSG00000075945,-1.2285050199240124,0.006148774901052868,0.8342240391120234
ENSG00000156587,1.1996312790563022,0.006160149835875547,0.8342240391120234
ENSG00000151914,-1.2358579075100702,0.006232929674667878,0.8342240391120234
ENSG00000040341,-2.1312024447748215,0.006266203820033482,0.8342240391120234
ENSG00000111335,9.345509144042964,0.006294513134691943,0.8342240391120234
ENSG00000085563,-1.8539075303193904,0.006341523291100404,0.8342240391120234
ENSG00000173567,7.0311048349018295,0.006482658208407275,0.8342240391120234
ENSG00000111711,-1.2674509230239446,0.006814220312466089,0.8342240391120234
ENSG00000134326,3.5613750633860377,0.007539497612291378,0.8342240391120234
ENSG00000120992,-1.0693281848615594,0.00776753997406748,0.8342240391120234
ENSG00000120685,-1.9071131105244457,0.0077802638537795375,0.8342240391120234
ENSG00000173083,7.612798243126768,0.007922403451596479,0.8342240391120234
ENSG00000115966,-1.6622815105734599,0.007952232973181216,0.8342240391120234
ENSG00000158006,-1.441372150034659,0.007960137142615878,0.8342240391120234
ENSG00000107077,-1.8361024664613224,0.008048002533017306,0.8342240391120234
ENSG00000119922,4.027824553189681,0.008166967132595748,0.8342240391120234
ENSG00000111530,-1.203161825966637,0.008172728660483285,0.8342240391120234
ENSG00000164209,-1.4942255336421548,0.008223079989967984,0.8342240391120234
ENSG00000117000,-2.608268438798436,0.008258758087371159,0.8342240391120234
ENSG00000092964,-2.818693288088517,0.008296935837448043,0.8342240391120234
ENSG00000164542,-1.8097052745102151,0.008382026817398452,0.8342240391120234
ENSG00000107036,-3.3235650632301987,0.008441308832940714,0.8342240391120234
ENSG00000078618,-1.1592700742577262,0.008506742490434054,0.8342240391120234
ENSG00000111331,3.223872731087893,0.00852463606787813,0.8342240391120234
ENSG00000114455,-1.1788919196852592,0.008608390532653377,0.8342240391120234
ENSG00000172183,2.0034166486047957,0.008654085428365389,0.8342240391120234
ENSG00000135241,-1.560770157244352,0.008751889452067452,0.8342240391120234
ENSG00000070950,-1.9102769621081899,0.008836838813694932,0.8342240391120234
ENSG00000138758,-2.0009911943662577,0.00886591194328486,0.8342240391120234
ENSG00000153071,-1.1138745253970832,0.008928369002224523,0.8342240391120234
ENSG00000101040,-1.6896590355240342,0.00900114704440932,0.8342240391120234
ENSG00000147010,-2.9283981306348026,0.009063809884356698,0.8342240391120234
ENSG00000164944,-1.8541302279258869,0.00913239492726011,0.8342240391120234
ENSG00000164329,-1.8598423310952843,0.009247927021195253,0.8342240391120234
ENSG00000113361,-2.171482178693784,0.00926140109203899,0.8342240391120234
ENSG00000063046,-1.3098828222410355,0.009437401451264024,0.8342240391120234
ENSG00000104331,-2.7013566540182543,0.009926858272192609,0.8342240391120234
ENSG00000165929,-1.1482488192946505,0.00999111400202497,0.8342240391120234
ENSG00000101680,7.175488021280104,0.01008402143083103,0.8342240391120234
ENSG00000198677,-1.352225324441799,0.010134632443144193,0.8342240391120234
ENSG00000178074,-1.7647328173178778,0.010192104456233574,0.8342240391120234
ENSG00000280670,7.570959036539421,0.010192515666145836,0.8342240391120234
ENSG00000240065,1.1920790640072276,0.010359226419015695,0.8342240391120234
ENSG00000187908,-1.4811383024482492,0.01037348616583989,0.8342240391120234
